website,battery,weight,laptop_brand,monitor_size,ram_capacity,ram_type,HDD_capacity,SSD_capacity,cpu_brand,cpu_core_num,cpu_thread_num,avg_bench,gamming,desktop,workstation,gpu_score,price
thinkpro,86.0,2.56,Dell,15.0,16.0,DDR4,0.0,512.0,Intel,6.0,12.0,76.8,77.0,80.0,67.0,76.2,41990000.0
thinkpro,41.0,1.7,Dell,15.6,4.0,DDR4,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,15990000.0
thinkpro,41.0,1.69,HP,15.6,8.0,DDR4,0.0,256.0,Intel,10.0,12.0,63.6,64.0,72.0,59.0,139.0,16890000.0
thinkpro,53.5,,MSI,15.6,8.0,DDR4,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,58.5,28990000.0
thinkpro,42.0,1.64,Dell,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,15.0,15790000.0
thinkpro,80.0,1.35,LG,17.0,16.0,DDR5,0.0,512.0,Intel,12.0,16.0,73.8,74.0,80.0,70.0,139.0,42990000.0
thinkpro,41.0,1.69,HP,15.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,15590000.0
thinkpro,51.0,1.3,Dell,13.0,16.0,,0.0,512.0,Intel,4.0,8.0,60.9,61.0,69.0,51.0,139.0,27790000.0
thinkpro,80.0,2.45,Lenovo,16.0,16.0,DDR4,0.0,1024.0,AMD,8.0,16.0,75.1,75.0,78.0,72.0,121.0,48990000.0
laptop88,63.0,1.0,Asus,14.0,16.0,DDR5,0.0,512.0,Intel,12.0,16.0,94.8,95.0,97.0,94.0,139.0,31690000.0
laptop88,,2.0,Lenovo,15.6,16.0,DDR4,0.0,512.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,,27690000.0
thinkpro,76.0,1.75,Asus,14.5,32.0,LPDDR5,0.0,1024.0,Intel,14.0,20.0,100.0,100.0,103.0,106.0,139.0,65990000.0
thinkpro,68.0,2.1,Dell,15.0,64.0,,0.0,4096.0,Intel,14.0,20.0,101.0,101.0,104.0,106.0,70.0,69990000.0
thinkpro,41.0,1.75,HP,15.6,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,139.0,15790000.0
thinkpro,44.5,1.39,Lenovo,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,51.1,51.0,57.0,41.0,5.0,9990000.0
laptop88,50.0,1.0,Asus,14.0,8.0,DDR4,0.0,256.0,Intel,,,,,,,112.0,14090000.0
thinkpro,57.0,1.66,Lenovo,15.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,51.1,51.0,57.0,41.0,5.0,12990000.0
thinkpro,39.0,1.11,Microsoft,12.0,8.0,,0.0,128.0,Intel,4.0,8.0,51.1,51.0,57.0,41.0,5.0,12990000.0
thinkpro,51.0,1.17,Dell,13.4,8.0,LPDDR5,0.0,512.0,Intel,10.0,12.0,63.6,64.0,72.0,59.0,139.0,27390000.0
thinkpro,54.0,1.4,Dell,14.0,8.0,,0.0,512.0,AMD,8.0,16.0,72.3,72.0,74.0,69.0,121.0,18990000.0
laptop88,,,Asus,16.0,32.0,LPDDR5,0.0,1024.0,AMD,14.0,20.0,100.0,100.0,103.0,106.0,88.6,74990000.0
thinkpro,90.0,2.9,Asus,17.3,8.0,,0.0,512.0,AMD,8.0,16.0,79.6,80.0,83.0,78.0,121.0,61990000.0
laptop88,,,Dell,16.0,8.0,DDR4,0.0,256.0,Intel,12.0,16.0,72.4,72.0,78.0,70.0,112.0,17990000.0
thinkpro,82.0,2.75,Razer,17.3,32.0,,0.0,1024.0,Intel,14.0,20.0,100.0,100.0,103.0,106.0,139.0,129990000.0
thinkpro,41.0,1.69,HP,15.6,12.0,,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,88.6,19790000.0
laptop88,90.0,1.0,Asus,15.6,32.0,DDR5,0.0,1024.0,Intel,,,,,,,121.0,57990000.0
laptop88,48.0,2.0,Asus,15.6,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,69.8,70.0,74.0,57.0,42.9,16990000.0
thinkpro,48.0,2.2,GIGABYTE,15.6,16.0,DDR4,0.0,512.0,Intel,8.0,12.0,74.5,74.0,78.0,69.0,58.5,19699000.0
laptop88,,2.0,HP,17.3,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,0.0,0.0,0.0,0.0,139.0,11990000.0
laptop88,,2.0,Asus,17.3,16.0,DDR5,0.0,512.0,Intel,,,,,,,88.6,38990000.0
laptop88,,1.0,Asus,15.6,8.0,DDR4,0.0,512.0,Intel,,,,,,,8.98,15490000.0
thinkpro,57.5,2.2,Acer,15.6,8.0,DDR4,1.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,58.5,22390000.0
laptop88,6.0,2.0,Asus,15.6,8.0,DDR5,0.0,512.0,Intel,8.0,12.0,82.4,82.0,87.0,77.0,58.5,23390000.0
thinkpro,76.0,2.0,Asus,15.6,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,68.6,69.0,75.0,59.0,88.6,27690000.0
thinkpro,80.0,2.14,Razer,15.0,16.0,DDR4,0.0,1024.0,Intel,8.0,16.0,78.8,79.0,81.0,73.0,76.2,74990000.0
thinkpro,36.7,1.7,Acer,15.6,4.0,,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,9990000.0
thinkpro,37.0,,Asus,15.6,4.0,DDR4,1024.0,256.0,Intel,2.0,2.0,20.9,21.0,27.0,15.0,112.0,7990000.0
thinkpro,51.0,1.3,Dell,13.0,16.0,,0.0,256.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,139.0,37990000.0
thinkpro,51.0,1.32,HP,13.3,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,22390000.0
laptop88,86.0,2.0,Dell,15.6,32.0,DDR4,0.0,1024.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,,58990000.0
thinkpro,59.0,2.3,Acer,15.6,16.0,,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,88.6,39990000.0
thinkpro,86.0,1.83,Dell,15.6,32.0,DDR4,0.0,512.0,Intel,6.0,12.0,79.5,79.0,83.0,70.0,65.0,31990000.0
thinkpro,56.0,1.9,Dell,15.6,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,69.8,70.0,74.0,57.0,76.2,21490000.0
thinkpro,90.0,1.81,Lenovo,16.0,32.0,,0.0,512.0,Intel,8.0,16.0,89.2,89.0,92.0,88.0,112.0,44990000.0
thinkpro,61.0,1.1,Lenovo,14.0,16.0,LPDDR4x,0.0,1024.0,AMD,8.0,16.0,70.6,71.0,73.0,68.0,121.0,35990000.0
thinkpro,61.0,1.39,Lenovo,14.0,16.0,DDR4,0.0,1024.0,AMD,8.0,16.0,73.6,74.0,75.0,73.0,21.5,32990000.0
thinkpro,80.0,1.7,Lenovo,15.0,16.0,DDR4,0.0,512.0,Intel,6.0,12.0,76.8,77.0,80.0,67.0,42.0,26990000.0
thinkpro,100.0,2.38,MSI,15.6,16.0,DDR4,0.0,2048.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,112.0,59990000.0
thinkpro,42.0,1.96,Dell,15.6,8.0,,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,9990000.0
thinkpro,45.0,1.64,Lenovo,14.0,8.0,DDR4,0.0,256.0,AMD,6.0,12.0,68.5,69.0,71.0,62.0,121.0,21990000.0
thinkpro,39.0,1.18,MSI,14.0,8.0,,0.0,128.0,Intel,4.0,8.0,53.4,53.0,59.0,42.0,112.0,10990000.0
thinkpro,96.0,1.8,Asus,15.6,16.0,,0.0,1024.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,,28990000.0
thinkpro,45.0,1.66,Lenovo,15.6,16.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,21490000.0
laptop88,67.0,1.0,Asus,14.0,8.0,,0.0,512.0,Intel,6.0,12.0,73.0,73.0,76.0,67.0,121.0,16990000.0
laptop88,,2.0,HP,17.3,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,12390000.0
laptop88,63.0,1.0,Asus,14.0,8.0,DDR4,0.0,512.0,Intel,,,,,,,121.0,24690000.0
thinkpro,56.0,,Other,,16.0,LPDDR4x,0.0,1024.0,AMD,,,70.6,71.0,73.0,68.0,121.0,59000000.0
thinkpro,52.6,1.24,Apple,13.6,8.0,,0.0,256.0,Apple,8.0,,0.0,0.0,0.0,0.0,,27990000.0
laptop88,,,HP,17.3,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,11690000.0
laptop88,,,Lenovo,15.6,16.0,DDR4,0.0,512.0,Intel,,,,,,,58.5,24990000.0
thinkpro,49.0,1.3,Apple,13.0,8.0,,0.0,256.0,Apple,8.0,8.0,0.0,0.0,0.0,0.0,,20690000.0
thinkpro,54.0,1.75,Dell,15.6,16.0,DDR4,0.0,512.0,Intel,4.0,8.0,73.0,73.0,80.0,62.0,21.5,21990000.0
thinkpro,36.0,0.99,GIGABYTE,14.0,16.0,DDR4,0.0,512.0,Intel,4.0,8.0,69.7,70.0,78.0,57.0,139.0,15790000.0
thinkpro,80.0,1.35,LG,17.0,16.0,DDR5,0.0,256.0,Intel,12.0,16.0,72.4,72.0,78.0,70.0,139.0,40990000.0
thinkpro,56.0,2.2,Asus,15.6,8.0,,0.0,512.0,AMD,8.0,16.0,78.1,78.0,81.0,77.0,88.6,34990000.0
laptop88,,1.0,Dell,13.3,16.0,DDR4,0.0,256.0,Intel,,,,,,,139.0,18990000.0
thinkpro,57.0,1.2,Lenovo,,16.0,,0.0,256.0,Intel,10.0,12.0,63.6,64.0,72.0,59.0,,23490000.0
thinkpro,48.96,2.2,GIGABYTE,15.6,16.0,,0.0,512.0,Intel,6.0,12.0,74.5,74.0,78.0,69.0,58.0,19990000.0
laptop88,,,HP,14.0,8.0,DDR4,0.0,512.0,AMD,10.0,12.0,63.6,64.0,72.0,59.0,112.0,18590000.0
laptop88,,,Dell,15.6,16.0,,0.0,512.0,Intel,,,,,,,121.0,15990000.0
thinkpro,56.0,1.45,Huawei,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,18490000.0
thinkpro,43.0,1.61,HP,14.0,4.0,DDR4,0.0,512.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,5.0,14890000.0
laptop88,,2.0,MSI,15.6,8.0,DDR4,0.0,512.0,Apple,,,,,,,58.5,25690000.0
thinkpro,87.0,2.35,Dell,15.6,16.0,,0.0,1024.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,88.6,70000000.0
thinkpro,56.5,1.42,Lenovo,14.0,16.0,LPDDR5,0.0,512.0,Intel,12.0,16.0,72.4,72.0,78.0,70.0,139.0,22990000.0
thinkpro,96.0,1.8,Lenovo,15.6,16.0,,0.0,1024.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,,14390000.0
laptop88,90.0,2.0,Asus,15.6,32.0,DDR5,0.0,2048.0,Intel,14.0,20.0,100.0,100.0,103.0,106.0,139.0,76490000.0
thinkpro,54.0,1.25,Dell,13.3,16.0,LPDDR5,0.0,512.0,Intel,10.0,12.0,72.4,72.0,78.0,70.0,139.0,19990000.0
thinkpro,80.0,1.7,Lenovo,15.0,16.0,DDR4,0.0,512.0,Intel,6.0,12.0,77.1,77.0,80.0,67.0,76.2,22990000.0
laptop88,,1.0,Dell,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,,15990000.0
laptop88,,,HP,16.1,16.0,DDR5,0.0,512.0,Intel,,,,,,,58.5,26590000.0
thinkpro,61.0,1.38,Lenovo,14.0,16.0,,0.0,256.0,Intel,4.0,8.0,68.6,69.0,75.0,59.0,139.0,21990000.0
thinkpro,39.0,1.4,MSI,14.0,8.0,DDR4,0.0,512.0,AMD,6.0,12.0,70.3,70.0,73.0,64.0,121.0,15490000.0
laptop88,,1.0,Dell,14.0,8.0,DDR4,0.0,512.0,Intel,10.0,12.0,63.6,64.0,72.0,59.0,112.0,20990000.0
thinkpro,56.0,1.9,Asus,15.6,8.0,LPDDR4x,0.0,256.0,AMD,8.0,16.0,72.3,72.0,74.0,69.0,21.5,16990000.0
thinkpro,54.0,1.97,Dell,16.0,8.0,DDR4,0.0,512.0,AMD,6.0,12.0,70.3,70.0,73.0,64.0,121.0,17390000.0
laptop88,,,Dell,14.0,8.0,DDR4,0.0,256.0,AMD,,,,,,,,16690000.0
thinkpro,57.5,2.5,Acer,15.6,8.0,DDR4,0.0,512.0,Intel,12.0,16.0,94.8,95.0,97.0,94.0,53.7,23490000.0
thinkpro,51.0,1.09,Lenovo,14.0,16.0,LPDDR3,0.0,512.0,Intel,4.0,8.0,64.5,64.0,71.0,52.0,9.64,21990000.0
thinkpro,39.3,1.4,Other,14.0,8.0,DDR4,0.0,512.0,Intel,10.0,12.0,63.6,64.0,72.0,59.0,139.0,3590000.0
laptop88,,,Dell,15.6,16.0,DDR5,0.0,512.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,58.5,39990000.0
thinkpro,63.0,0.87,Samsung,13.3,8.0,LPDDDR5,0.0,256.0,Intel,12.0,16.0,72.4,72.0,78.0,70.0,139.0,39000000.0
laptop88,,,HP,14.0,4.0,DDR4,1024.0,0.0,Intel,,,,,,,121.0,7690000.0
thinkpro,96.0,2.5,GIGABYTE,17.3,16.0,,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,58.5,31990000.0
thinkpro,,,Dell,14.0,8.0,,0.0,256.0,Intel,12.0,16.0,94.8,95.0,97.0,94.0,65.0,59990000.0
thinkpro,41.0,,HP,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,17490000.0
thinkpro,70.0,1.8,Asus,15.6,16.0,,0.0,512.0,AMD,6.0,12.0,73.0,73.0,76.0,67.0,53.7,22990000.0
laptop88,,,HP,14.0,8.0,DDR4,0.0,256.0,AMD,10.0,12.0,63.6,64.0,72.0,59.0,112.0,17590000.0
thinkpro,46.0,1.26,Microsoft,13.5,8.0,,0.0,128.0,AMD,6.0,12.0,0.0,0.0,0.0,0.0,121.0,16990000.0
thinkpro,67.0,1.3,HP,13.3,8.0,,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,21890000.0
laptop88,,,Samsung,15.6,8.0,DDR4,0.0,512.0,Intel,,,,,,,58.5,22490000.0
laptop88,63.0,1.0,Asus,14.0,16.0,DDR5,0.0,1024.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,139.0,37990000.0
thinkpro,99.0,2.0,GIGABYTE,15.6,16.0,DDR4,0.0,1024.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,128.0,59990000.0
laptop88,,,LG,16.0,8.0,LPDDR5,0.0,256.0,Intel,6.0,6.0,93.2,93.0,95.0,77.0,139.0,27690000.0
thinkpro,56.5,1.38,Lenovo,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,69.7,70.0,78.0,57.0,139.0,22990000.0
thinkpro,61.0,1.38,Lenovo,14.0,16.0,,0.0,512.0,Intel,4.0,8.0,66.4,66.0,73.0,57.0,139.0,26990000.0
laptop88,,,HP,15.6,8.0,DDR4,0.0,256.0,Intel,,,,,,,121.0,15490000.0
thinkpro,48.9,0.77,Microsoft,12.3,8.0,LPDDR4x,0.0,128.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,17990000.0
laptop88,36.7,1.0,Acer,15.6,4.0,DDR4,0.0,256.0,Intel,2.0,4.0,90.6,91.0,88.0,75.0,112.0,8990000.0
thinkpro,80.0,2.14,Razer,15.0,32.0,DDR4,0.0,1024.0,Intel,8.0,16.0,78.8,79.0,81.0,73.0,76.2,83990000.0
laptop88,60.0,2.0,Lenovo,15.6,8.0,DDR5,0.0,512.0,Intel,,,,,,,58.5,21990000.0
laptop88,45.0,1.0,Lenovo,14.0,8.0,DDR4,0.0,256.0,Intel,6.0,12.0,0.0,0.0,0.0,0.0,121.0,12990000.0
thinkpro,80.0,1.35,LG,17.0,16.0,,0.0,512.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,139.0,29990000.0
thinkpro,51.0,1.3,Dell,13.0,16.0,,0.0,512.0,Intel,4.0,8.0,53.2,53.0,59.0,43.0,11.0,22990000.0
laptop88,,2.0,MSI,17.3,32.0,DDR5,0.0,1024.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,121.0,61990000.0
thinkpro,97.0,2.0,Dell,15.6,16.0,DDR4,0.0,512.0,Intel,4.0,8.0,63.0,63.0,67.0,51.0,76.2,24490000.0
thinkpro,62.0,1.3,Asus,13.0,16.0,,0.0,512.0,AMD,8.0,16.0,73.6,74.0,75.0,73.0,121.0,34990000.0
thinkpro,70.0,2.46,HP,16.1,8.0,DDR4,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,58.5,24890000.0
thinkpro,72.0,,Asus,14.0,8.0,DDR4,0.0,512.0,AMD,8.0,16.0,73.6,74.0,75.0,73.0,42.9,28990000.0
thinkpro,53.0,1.7,Dell,15.6,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,12990000.0
thinkpro,80.0,,Lenovo,15.6,8.0,DDR4,0.0,512.0,AMD,8.0,16.0,75.1,75.0,78.0,72.0,58.0,27990000.0
thinkpro,59.0,1.9,Acer,16.1,16.0,,0.0,512.0,Intel,4.0,8.0,73.0,73.0,80.0,62.0,58.5,29990000.0
laptop88,,,LG,16.0,16.0,LPDDR5,0.0,512.0,Intel,12.0,16.0,73.8,74.0,80.0,70.0,,27990000.0
thinkpro,50.0,1.6,Lenovo,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,52.7,53.0,58.0,41.0,9.64,22490000.0
thinkpro,52.0,1.27,Dell,13.3,16.0,LPDDR3,0.0,256.0,Intel,4.0,8.0,51.6,52.0,56.0,41.0,9.64,19990000.0
laptop88,,1.0,MSI,14.0,8.0,DDR4,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,11690000.0
laptop88,,,HP,17.3,8.0,DDR4,0.0,256.0,AMD,4.0,8.0,0.0,0.0,0.0,0.0,139.0,11690000.0
thinkpro,51.0,,HP,13.3,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,15990000.0
thinkpro,36.0,1.9,Acer,15.6,4.0,DDR4,0.0,256.0,Intel,4.0,8.0,51.1,51.0,57.0,41.0,5.0,13990000.0
laptop88,56.0,1.0,Lenovo,13.3,8.0,DDR4,0.0,256.0,AMD,4.0,8.0,60.2,60.0,67.0,50.0,139.0,14990000.0
thinkpro,56.0,1.69,HP,15.6,32.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.9,61.0,69.0,51.0,139.0,22790000.0
thinkpro,52.0,1.3,MSI,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,69.7,70.0,78.0,57.0,21.5,15990000.0
thinkpro,80.0,2.4,Lenovo,15.6,16.0,DDR4,1.0,512.0,AMD,6.0,12.0,73.0,73.0,76.0,67.0,88.6,37990000.0
laptop88,,2.0,HP,17.3,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,11990000.0
laptop88,,1.0,Dell,14.0,8.0,DDR4,0.0,512.0,Intel,6.0,12.0,0.0,0.0,0.0,0.0,,15990000.0
laptop88,,,HP,14.0,8.0,,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,13990000.0
thinkpro,41.0,1.47,HP,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,18990000.0
thinkpro,50.0,1.8,Asus,15.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,19790000.0
thinkpro,56.0,1.49,Huawei,14.0,16.0,DDR4,0.0,512.0,Intel,12.0,16.0,72.4,72.0,78.0,70.0,16.0,23990000.0
laptop88,67.0,1.0,Asus,13.3,8.0,,0.0,512.0,AMD,4.0,8.0,63.2,63.0,71.0,52.0,139.0,19990000.0
thinkpro,37.0,1.28,AVITA,14.0,8.0,DDR4,0.0,1024.0,Intel,4.0,8.0,56.4,56.0,62.0,44.0,9.64,13990000.0
laptop88,76.0,1.0,Asus,15.6,16.0,DDR5,0.0,1024.0,AMD,,,,,,,,45690000.0
thinkpro,75.0,1.39,Asus,14.0,8.0,LPDDR5,0.0,256.0,Intel,12.0,16.0,72.4,72.0,78.0,70.0,139.0,17990000.0
thinkpro,42.0,1.8,Asus,15.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,17390000.0
laptop88,38.0,1.0,Other,15.6,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,0.0,0.0,0.0,0.0,139.0,13990000.0
laptop88,,2.0,MSI,15.6,8.0,DDR4,0.0,512.0,Intel,8.0,12.0,82.4,82.0,87.0,77.0,58.5,21590000.0
thinkpro,54.0,1.45,Dell,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,73.0,73.0,80.0,62.0,139.0,19990000.0
laptop88,,2.0,Asus,15.6,8.0,DDR4,0.0,512.0,Intel,6.0,12.0,74.5,74.0,78.0,69.0,58.5,20290000.0
thinkpro,42.0,1.64,Dell,14.0,8.0,DDR4,0.0,512.0,AMD,4.0,8.0,48.1,48.0,52.0,40.0,7.31,13390000.0
thinkpro,56.0,,Dell,15.6,8.0,DDR4,0.0,256.0,Intel,6.0,12.0,74.5,74.0,78.0,69.0,53.7,27990000.0
thinkpro,86.0,2.56,Dell,15.0,8.0,DDR4,0.0,512.0,Intel,6.0,12.0,76.8,77.0,80.0,67.0,76.2,37990000.0
laptop88,5.0,1.0,Asus,14.0,8.0,DDR4,0.0,512.0,Intel,6.0,12.0,0.0,0.0,0.0,0.0,10.3,22990000.0
thinkpro,86.0,2.69,Dell,15.6,32.0,DDR4,0.0,1024.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,88.6,61990000.0
thinkpro,40.0,1.72,Dell,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,139.0,26990000.0
thinkpro,63.0,1.4,Asus,14.0,8.0,DDR5,0.0,512.0,Intel,12.0,16.0,94.8,95.0,97.0,94.0,139.0,28790000.0
laptop88,75.0,1.0,Lenovo,16.0,16.0,DDR5,0.0,512.0,Intel,,,,,,,58.5,25990000.0
thinkpro,54.0,1.63,Dell,14.0,8.0,DDR4,0.0,512.0,AMD,6.0,12.0,70.3,70.0,73.0,64.0,121.0,17990000.0
thinkpro,67.0,1.218,Asus,13.3,16.0,LPDDR4x,0.0,1024.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,88.6,41990000.0
thinkpro,63.0,1.65,Asus,15.6,16.0,,0.0,512.0,AMD,8.0,16.0,75.1,75.0,78.0,72.0,58.0,29990000.0
laptop88,,,HP,16.1,8.0,DDR5,0.0,512.0,Intel,,,,,,,58.5,24990000.0
thinkpro,57.0,1.8,Lenovo,15.6,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,40.3,40.0,41.0,27.0,9.64,17990000.0
thinkpro,54.0,2.6,MSI,17.3,8.0,DDR4,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,112.0,31990000.0
thinkpro,90.0,2.9,Asus,17.3,8.0,,0.0,512.0,AMD,8.0,16.0,78.1,78.0,81.0,77.0,88.6,46990000.0
laptop88,,2.0,Asus,15.6,16.0,DDR5,0.0,1024.0,Intel,,,,,,,121.0,51390000.0
thinkpro,40.0,1.0,Acer,14.0,8.0,,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,26990000.0
thinkpro,80.0,2.14,Other,15.0,32.0,DDR4,0.0,1024.0,Intel,8.0,16.0,78.8,79.0,81.0,73.0,76.2,10500000.0
laptop88,45.0,,Lenovo,15.6,8.0,DDR4,0.0,256.0,Intel,,,,,,,58.5,16290000.0
laptop88,6.0,2.0,Asus,15.6,8.0,DDR5,0.0,512.0,Intel,8.0,12.0,82.4,82.0,87.0,77.0,58.5,23990000.0
thinkpro,90.0,2.3,Asus,15.6,16.0,DDR4,0.0,512.0,AMD,8.0,16.0,78.2,78.0,81.0,76.0,88.6,32990000.0
thinkpro,90.0,2.4,Asus,16.0,32.0,DDR5,0.0,1024.0,Intel,14.0,,100.0,100.0,103.0,106.0,87.0,82990000.0
thinkpro,,1.97,Lenovo,15.6,8.0,DDR3L,0.0,256.0,Intel,2.0,4.0,49.6,50.0,57.0,36.0,4.83,12990000.0
thinkpro,56.0,1.19,Acer,13.0,8.0,LPDDR4x,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,19490000.0
thinkpro,54.0,1.87,Dell,16.0,16.0,DDR4,0.0,512.0,Intel,12.0,16.0,72.4,72.0,78.0,70.0,139.0,21990000.0
laptop88,,,MSI,15.6,8.0,DDR4,0.0,512.0,Intel,8.0,12.0,82.4,82.0,87.0,77.0,58.5,27290000.0
laptop88,43.0,1.0,HP,14.0,8.0,DDR4,0.0,256.0,AMD,10.0,12.0,63.6,64.0,72.0,59.0,139.0,15990000.0
laptop88,6.0,1.0,Asus,15.6,8.0,DDR4,0.0,256.0,Intel,,,,,,,21.5,15990000.0
